"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Probable Pitcher","Batting Order"
"20170-13423","OF","Starling","Starling Marte","Marte","11.033333672417534","18","3600","PIT@COL","PIT","COL","","","",""
"20170-6319","OF","Ian","Ian Desmond","Desmond","9.588888501364087","63","3600","PIT@COL","COL","PIT","","","",""
"20170-11443","1B","Justin","Justin Smoak","Smoak","11.635416666666666","96","3600","TOR@CLE","TOR","CLE","","","",""
"20170-12516","1B","Lucas","Lucas Duda","Duda","10.274647887323944","71","3600","OAK@NYM","NYM","OAK","","","",""
"20170-13567","2B","DJ","DJ LeMahieu","LeMahieu","9.609473941200658","95","3600","PIT@COL","COL","PIT","","","",""
"20170-12585","OF","Mark","Mark Trumbo","Trumbo","9.778350515463918","97","3600","HOU@BAL","BAL","HOU","","","",""
"20170-38249","OF","Steven","Steven Souza Jr.","Souza Jr.","11.696738865064537","92","3600","TEX@TAM","TAM","TEX","","","",""
"20170-5504","2B","Ian","Ian Kinsler","Kinsler","10.10126582278481","79","3600","DET@MIN","DET","MIN","","","",""
"20170-16964","OF","Yoenis","Yoenis Cespedes","Cespedes","9.387999877929687","50","3600","OAK@NYM","NYM","OAK","","","",""
"20170-12928","1B","Eric","Eric Hosmer","Hosmer","10.447916666666666","96","3600","CWS@KAN","KAN","CWS","","","",""
"20170-38571","3B","Travis","Travis Shaw","Shaw","13.222988786368534","87","3600","MIL@PHI","MIL","PHI","","","",""
"20170-38615","OF","Domingo","Domingo Santana","Santana","11.35000025972407","94","3600","MIL@PHI","MIL","PHI","","","",""
"20170-5884","C","Francisco","Francisco Cervelli","Cervelli","8.476923076923077","65","3600","PIT@COL","PIT","COL","","","",""
"20170-21609","OF","Christian","Christian Yelich","Yelich","10.6228259542714","92","3500","MIA@CIN","MIA","CIN","","","",""
"20170-6273","OF","Michael","Michael Brantley","Brantley","10.50945962441934","74","3500","TOR@CLE","CLE","TOR","","","",""
"20170-5262","OF","Adam","Adam Jones","Jones","10.121111382378473","90","3500","HOU@BAL","BAL","HOU","","","",""
"20170-12458","1B","Logan","Logan Morrison","Morrison","11.796773931031586","93","3500","TEX@TAM","TAM","TEX","","","",""
"20170-60642","OF","Michael","Michael Conforto","Conforto","12.191138931467563","79","3500","OAK@NYM","NYM","OAK","","","",""
"20170-70898","OF","Adam","Adam Frazier","Frazier","8.452000325520833","75","3500","PIT@COL","PIT","COL","","","",""
"20170-49523","1B","Jose","Jose Abreu","Abreu","11.17741935483871","93","3500","CWS@KAN","CWS","KAN","","","",""
"20170-13687","SS","Jordy","Jordy Mercer","Mercer","8.3247313140541","93","3500","PIT@COL","PIT","COL","","","",""
"20170-13694","SS","Marwin","Marwin Gonzalez","Gonzalez","11.645569620253164","79","3500","HOU@BAL","HOU","BAL","","","",""
"20170-5562","1B","Edwin","Edwin Encarnacion","Encarnacion","11.358065041162634","93","3500","TOR@CLE","CLE","TOR","","","",""
"20170-16947","2B","Jonathan","Jonathan Schoop","Schoop","11.598947625411185","95","3500","HOU@BAL","BAL","HOU","","","",""
"20170-16952","SS","Francisco","Francisco Lindor","Lindor","10.58494649907594","93","3500","TOR@CLE","CLE","TOR","","","",""
"20170-13929","3B","Manny","Manny Machado","Machado","10.21195652173913","92","3500","HOU@BAL","BAL","HOU","","","",""
"20170-54952","OF","Aaron","Aaron Altherr","Altherr","10.632911392405063","79","3500","MIL@PHI","PHI","MIL","DL","Hamstring","",""
"20170-12977","1B","Eric","Eric Thames","Thames","11.811363913796164","88","3500","MIL@PHI","MIL","PHI","","","",""
"20170-5945","3B","David","David Freese","Freese","8.00394720780222","76","3500","PIT@COL","PIT","COL","","","",""
"20170-12113","3B","Josh","Josh Donaldson","Donaldson","9.8345458984375","55","3500","TOR@CLE","TOR","CLE","","","",""
"20170-5076","OF","Carlos","Carlos Gonzalez","Gonzalez","7.51604923201196","81","3500","PIT@COL","COL","PIT","","","",""
"20170-11322","3B","Mike","Mike Moustakas","Moustakas","11.641379170034124","87","3400","CWS@KAN","KAN","CWS","","","",""
"20170-5564","OF","Jose","Jose Bautista","Bautista","10.149484536082474","97","3400","TOR@CLE","TOR","CLE","","","",""
"20170-5607","3B","Evan","Evan Longoria","Longoria","10.428421181126645","95","3400","TEX@TAM","TAM","TEX","","","",""
"20170-5904","1B","Chris","Chris Davis","Davis","9.777143205915179","70","3400","HOU@BAL","BAL","HOU","","","",""
"20170-52178","3B","Maikel","Maikel Franco","Franco","8.905494773780907","91","3400","MIL@PHI","PHI","MIL","","","",""
"20170-11338","SS","Zack","Zack Cozart","Cozart","11.934246742562072","73","3300","MIA@CIN","CIN","MIA","","","",""
"20170-60635","OF","Raimel","Raimel Tapia","Tapia","7.1875","40","3300","PIT@COL","COL","PIT","","","",""
"20170-38117","OF","Adam","Adam Duvall","Duvall","11.332979242852394","94","3300","MIA@CIN","CIN","MIA","","","",""
"20170-12924","OF","Lonnie","Lonnie Chisenhall","Chisenhall","10.567187309265137","64","3300","TOR@CLE","CLE","TOR","DL","Calf","",""
"20170-14004","1B","Justin","Justin Bour","Bour","11.22705867991728","85","3300","MIA@CIN","MIA","CIN","","","",""
"20170-5832","3B","Adrian","Adrian Beltre","Beltre","11.224999861283736","44","3300","TEX@TAM","TEX","TAM","","","",""
"20170-71507","1B","Yuli","Yuli Gurriel","Gurriel","10.301190330868675","84","3300","HOU@BAL","HOU","BAL","","","",""
"20170-13342","3B","Nicholas","Nicholas Castellanos","Castellanos","10.221276465882646","94","3200","DET@MIN","DET","MIN","","","",""
"20170-11313","1B","John","John Jaso","Jaso","5.634567825882523","81","3200","PIT@COL","PIT","COL","","","",""
"20170-5206","1B","Joe","Joe Mauer","Mauer","8.981012658227849","79","3200","DET@MIN","MIN","DET","","","",""
"20170-5279","1B","Kendrys","Kendrys Morales","Morales","9.579347693401834","92","3200","TOR@CLE","TOR","CLE","","","",""
"20170-38074","OF","Corey","Corey Dickerson","Dickerson","11.300000262516802","93","3200","TEX@TAM","TAM","TEX","","","",""
"20170-12521","1B","Yonder","Yonder Alonso","Alonso","10.543678020608835","87","3200","OAK@NYM","OAK","NYM","","","",""
"20170-13854","OF","Robbie","Robbie Grossman","Grossman","8.873417721518987","79","3200","DET@MIN","MIN","DET","","","",""
"20170-12985","OF","Avisail","Avisail Garcia","Garcia","10.837647202435662","85","3200","CWS@KAN","CWS","KAN","","","",""
